Word,Length,Frequency,Category
the,3,100000,article
be,2,85000,verb
to,2,80000,preposition
of,2,75000,preposition
and,3,70000,conjunction
a,1,68000,article
in,2,65000,preposition
that,4,60000,pronoun
have,4,58000,verb
I,1,55000,pronoun
it,2,53000,pronoun
for,3,50000,preposition
not,3,48000,adverb
on,2,46000,preposition
with,4,45000,preposition
he,2,44000,pronoun
as,2,43000,conjunction
you,3,42000,pronoun
do,2,41000,verb
at,2,40000,preposition
this,4,39000,pronoun
but,3,38000,conjunction
his,3,37000,pronoun
by,2,36000,preposition
from,4,35000,preposition
they,4,34000,pronoun
we,2,33000,pronoun
say,3,32000,verb
her,3,31000,pronoun
she,3,30000,pronoun
or,2,29000,conjunction
an,2,28000,article
will,4,27000,verb
my,2,26000,pronoun
one,3,25000,number
all,3,24000,adjective
would,5,23000,verb
there,5,22000,adverb
their,5,21000,pronoun
what,4,20000,pronoun
so,2,19000,adverb
up,2,18000,adverb
out,3,17000,adverb
if,2,16000,conjunction
about,5,15000,preposition
who,3,14000,pronoun
get,3,13000,verb
which,5,12000,pronoun
go,2,11000,verb
me,2,10000,pronoun
when,4,9500,adverb
make,4,9000,verb
can,3,8500,verb
like,4,8000,verb
time,4,7500,noun
no,2,7000,adverb
just,4,6500,adverb
him,3,6000,pronoun
know,4,5500,verb
take,4,5000,verb
people,6,4800,noun
into,4,4600,preposition
year,4,4400,noun
your,4,4200,pronoun
good,4,4000,adjective
some,4,3800,adjective
could,5,3600,verb
them,4,3400,pronoun
see,3,3200,verb
other,5,3000,adjective
than,4,2900,conjunction
then,4,2800,adverb
now,3,2700,adverb
look,4,2600,verb
only,4,2500,adverb
come,4,2400,verb
its,3,2300,pronoun
over,4,2200,preposition
think,5,2100,verb
also,4,2000,adverb
back,4,1900,adverb
after,5,1800,preposition
use,3,1700,verb
two,3,1600,number
how,3,1500,adverb
our,3,1400,pronoun
work,4,1300,verb
first,5,1200,adjective
well,4,1100,adverb
way,3,1000,noun
even,4,950,adverb
new,3,900,adjective
want,4,850,verb
because,7,800,conjunction
any,3,750,adjective
these,5,700,pronoun
give,4,650,verb
day,3,600,noun
most,4,550,adjective
us,2,500,pronoun
concrete,8,450,noun
construction,12,440,noun
building,8,430,noun
project,7,420,noun
material,8,410,noun
equipment,9,400,noun
contractor,10,390,noun
engineer,8,380,noun
design,6,370,noun
structure,9,360,noun
foundation,10,350,noun
excavation,10,340,noun
steel,5,330,noun
reinforcement,13,320,noun
formwork,8,310,noun
scaffolding,11,300,noun
plumbing,8,290,noun
electrical,10,280,noun
mechanical,10,270,noun
installation,12,260,noun
finish,6,250,noun
painting,8,240,noun
flooring,8,230,noun
roofing,7,220,noun
drainage,8,210,noun
insulation,10,200,noun
waterproofing,13,190,noun
masonry,7,180,noun
carpentry,9,170,noun
welding,7,160,noun
installation,12,150,noun
measurement,11,140,noun
quantity,8,130,noun
surveying,9,120,noun
specification,13,110,noun
standard,8,100,noun
requirement,11,95,noun
procedure,9,90,noun
method,6,85,noun
safety,6,80,noun
quality,7,75,noun
control,7,70,noun
inspection,10,65,noun
testing,7,60,noun
approval,8,55,noun
certification,13,50,noun
compliance,10,45,noun
regulation,10,40,noun
code,4,35,noun
provision,9,30,noun
clause,6,25,noun
contract,8,20,noun
agreement,9,18,noun
terms,5,16,noun
conditions,10,14,noun
payment,7,12,noun
invoice,7,10,noun
schedule,8,9,noun
timeline,8,8,noun
milestone,9,7,noun
deliverable,11,6,noun
document,8,5,noun
drawing,7,4,noun
plan,4,3,noun
section,7,2,noun
detail,6,1,noun
